Start	End	Direction	Weight
ATF5	CEBPA	1	1
ATF7	CEBPA	1	1
BATF	CEBPA	1	1
BATF3	CEBPA	1	1
ATF4	CEBPB	1	1
ATF5	CEBPB	1	1
ATF7	CEBPB	1	1
BATF	CEBPB	1	1
BATF3	CEBPB	1	1
CEBPA	CEBPB	1	1
ATF4	CEBPD	1	1
ATF5	CEBPD	1	1
BATF	CEBPD	1	1
BATF3	CEBPD	1	1
CEBPA	CEBPD	1	1
CEBPB	CEBPD	1	1
ALX4	CEBPE	1	1
ATF4	CEBPE	1	1
BATF	CEBPE	1	1
BATF3	CEBPE	1	1
CEBPA	CEBPE	1	1
CEBPB	CEBPE	1	1
CEBPD	CEBPE	1	1
ATF2	CEBPG	1	1
ATF3	CEBPG	1	1
ATF4	CEBPG	1	1
ATF5	CEBPG	1	1
ATF7	CEBPG	1	1
BATF	CEBPG	1	1
BATF3	CEBPG	1	1
CEBPA	CEBPG	1	1
CEBPB	CEBPG	1	1
CEBPD	CEBPG	1	1
CEBPE	CEBPG	1	1
A2M	CELA1	1	1
ANXA7	CELF3	1	1
C14ORF1	CELF3	1	1
CDKN1A	CELF3	1	1
ABL1	CELSR3	1	1
ABL1	CENPA	1	1
ANXA7	CENPB	1	1
CDKN1A	CENPB	1	1
BUB1B	CENPE	1	1
ATN1	CENPJ	1	1
AKTIP	CENPN	1	1
C19ORF57	CENPQ	1	1
ABI3	CEP170P1	1	1
AIMP2	CEP170P1	1	1
C19ORF25	CEP170P1	1	1
C1ORF216	CEP170P1	1	1
CCDC120	CEP170P1	1	1
CENPO	CEP170P1	1	1
ATF7IP	CEP250	1	1
APTX	CEP350	1	1
ABI3	CEP44	1	1
CCDC116	CEP44	1	1
CEP55	CEP57L1	1	1
C14ORF135	CEP63	1	1
CAMKK2	CEP63	1	1
CCDC14	CEP63	1	1
CCNI	CEP63	1	1
ATXN7	CEP70	1	1
C16ORF48	CEP70	1	1
C1ORF35	CEP70	1	1
C7ORF25	CEP70	1	1
C8ORF33	CEP70	1	1
CCDC85B	CEP70	1	1
CDC73	CEP70	1	1
ATXN7	CEP72	1	1
AKAP7	CEP76	1	1
C22ORF39	CEP76	1	1
CCNK	CEP76	1	1
ARPC3	CETP	1	1
C3	CFB	1	1
CFB	CFD	1	1
C3	CFH	1	1
CDC42	CFHR4	1	1
C3	CFI	1	1
CFH	CFI	1	1
ACTA1	CFL1	1	1
ACTB	CFL1	1	1
ACTG1	CFL1	1	1
ATXN1	CFL1	1	1
ACTB	CFL2	1	1
ACTG1	CFL2	1	1
CFL1	CFL2	1	1
BCL2L1	CFLAR	1	1
CASP10	CFLAR	1	1
CASP3	CFLAR	1	1
CASP8	CFLAR	1	1
CFB	CFP	1	1
CANX	CFTR	1	1
CGA	CGB	1	1
CGA	CGB5	1	1
APC	CGNL1	1	1
CBX5	CHAF1A	1	1
CAMK2A	CHAT	1	1
AMOTL2	CHCHD3	1	1
CCDC85B	CHCHD3	1	1
ACTR1B	CHD3	1	1
ADH5	CHD3	1	1
AIMP2	CHD3	1	1
ATPIF1	CHD3	1	1
BARD1	CHD3	1	1
BHLHE40	CHD3	1	1
C14ORF135	CHD3	1	1
C15ORF63	CHD3	1	1
C4ORF17	CHD3	1	1
CASP6	CHD3	1	1
CASP8	CHD3	1	1
ARAF	CHD6	1	1
ATXN1L	CHD6	1	1
ATM	CHEK1	1	1
ATR	CHEK1	1	1
CDC25A	CHEK1	1	1
CDC25C	CHEK1	1	1
ATM	CHEK2	1	1
ATR	CHEK2	1	1
BRCA1	CHEK2	1	1
CDC25A	CHEK2	1	1
CDC25C	CHEK2	1	1
BRD4	CHFR	1	1
CDC37	CHGA	1	1
ACACA	CHGB	1	1
ANXA7	CHGB	1	1
ATXN2	CHGB	1	1
CBFB	CHGB	1	1
CCDC92	CHGB	1	1
CDKN1A	CHGB	1	1
CATSPER1	CHIC2	1	1
CHMP1A	CHMP1B	1	1
ATP5C1	CHMP2B	1	1
CHMP3	CHMP4B	1	1
CHMP4B	CHMP4C	1	1
APPBP2	CHMP5	1	1
CHMP4B	CHMP6	1	1
